histologic;NFKB1;NFKB2;NFKBIA;NFKBIB;NFKBID;NFKBIE;NFKBIL1;NFKBIZ;CCND1;CCNE1;CDK20;CDK2;CDK2AP1;CDK2AP2;MYC;MYCBP2;MYCBP;MYCBPAP;MYCL;MYCN;MYCNOS;MYCT1;C1QTNF1;C1QTNF2;C1QTNF3;C1QTNF4;C1QTNF6;C1QTNF7;C1QTNF8;C1QTNF9;C1QTNF9B;C1QTNF9B.AS1;TNF;TNFAIP1;TNFAIP2;TNFAIP3;TNFAIP6;TNFAIP8;TNFAIP8L1;TNFAIP8L2;TNFAIP8L3;TNFRSF10A;TNFRSF10B;TNFRSF10C;TNFRSF10D;TNFRSF11A;TNFRSF11B;TNFRSF12A;TNFRSF13B;TNFRSF13C;TNFRSF14;TNFRSF17;TNFRSF18;TNFRSF19;TNFRSF1A;TNFRSF1B;TNFRSF21;TNFRSF25;TNFRSF4;TNFRSF6B;TNFRSF8;TNFRSF9;TNFSF10;TNFSF11;TNFSF12;TNFSF12.TNFSF13;TNFSF13;TNFSF13B;TNFSF14;TNFSF15;TNFSF18;TNFSF4;TNFSF8;TNFSF9;IL1B;IL6;IL6R;IL6ST;PPIL6;BCL2A1;GADD45B;BCL2;BCL2L10;BCL2L11;BCL2L12;BCL2L13;BCL2L14;BCL2L15;BCL2L1;BCL2L2;TRAF1;TRAF2;XIAP;CFLAR;TERT;SOD2;PLAU;PLAUR;IMMP2L;MMP20;MMP21;MMP23A;MMP23B;MMP24;MMP2;MMP25;MMP26;MMP27;MMP28;WHAMMP2;MMP9;VCAM1;ICAM1;TICAM1;SELE;SELENBP1;NANOS1;NANOS2;NOS2;ACOX2;COX20;CXCL10;CXCL11;CXCL12;CXCL1;CXCL13;CXCL14;CXCL16;CXCL17;VEGFA;VEGFB;VEGFC;HIF1A;HIF1AN
Oligodendroglioma;365.3654;183.6837;944.4444;460.4605;11.5115;322.8228;1392.3924;34.5345;4452.8278;50.0501;318.3183;127.1271;7504.004;879.8799;4181.6817;1974.975;69.5696;6.006;261.7618;870.3704;32.032;120.6206;711.2112;33.5335;192.1922;268.2683;171.6717;14.014;9.5095;0.5005;0.5005;3.003;22.5225;1558.969;100.1001;62.5626;7.5075;12.012;153.1532;36.5365;100.6006;6.006;608.1081;10.01;32.5325;9.5095;9.009;24.024;0;9.009;203.4835;0.5005;9.009;62.0621;342.3423;371.3714;2221.7217;66.0661;8.5085;75.1802;2.5025;0;121.1211;0;841.987;3.5135;423.7688;20.5205;0;0;1.5015;28.028;2.002;27.027;86.0861;0.6306;48.5485;484.985;91.5916;2.5025;272.7728;564.5646;1.5015;318.8188;8.5485;1052.5526;2.002;7.5075;1994.995;2366.041;101.1011;326.8268;1847.3473;275.2753;9.009;1372.3724;37.4474;29.5295;115.1151;0;0;0;13.013;1945.9459;757.7578;83.8889;0;0;239.7397;28.5285;2.5025;75.5756;122.6226;422.4224;5.005;522.022;164.6647;2.5025;70.6206;58.0581;1987.1772;3.003;4.004;237.2372;6.5065;0.5005;614.6146;546.046;0;851.3514;1895.8959;28.028;2477.978;1116.1161
Oligoastrocytoma;368.5974;212.0632;1020.1053;425.0838;19.1479;414.0737;1035.4236;47.8698;1360.8521;58.8798;563.9062;96.697;5890.8569;669.2197;1516.0364;3268.0708;55.4476;11.9674;216.3715;892.293;21.5414;56.4864;382.4797;31.1154;247.0081;386.3092;163.236;10.5314;11.9674;7.865;1.9148;2.8722;56.0077;1600.2154;173.7674;85.2082;0.9574;9.574;242.2212;32.0728;157.0129;2.3935;467.6879;6.7018;14.3609;33.0302;5.7444;22.4988;0;11.9674;252.9344;0;10.0527;314.5045;538.5352;205.3614;2030.158;84.7295;5.7444;125.7252;1.4361;0;113.4514;0.4787;768.3102;0;311.6324;3.3509;0;0.4787;1.9148;19.6266;4.3083;28.2432;69.8899;0.4787;83.7721;723.3126;126.855;1.4361;286.2614;321.685;2.8722;268.5495;19.0426;1123.9828;0.4787;7.1805;1962.1829;2280.8569;130.2058;316.898;1412.1589;235.5194;13.4035;1492.5802;44.0402;22.9775;101.484;0;0.4787;0;11.4888;1985.1604;1514.6003;32.5227;0;0;417.9033;34.9449;0;268.0708;85.6869;415.0311;4.3083;357.1087;151.2685;0.4787;98.1331;99.5692;1991.0819;1.9148;0.4787;359.5022;1.4361;191.4792;1025.371;548.1091;0;598.3724;1661.5606;9.0953;2395.4045;1115.3662
Astrocytoma;565.7925;351.6513;4003.5463;530.0314;24.6922;224.3587;801.6459;44.7014;3516.4028;62.582;318.8703;262.2485;5014.2246;748.4299;1816.1557;1347.4292;158.8264;2.1286;929.79;754.8158;14.9005;41.2956;384.8581;8.9403;363.146;51.5131;298.4353;6.3859;6.8116;1.9328;0.7578;9.0339;48.1073;1754.0889;1030.2618;157.9451;4.683;8.5146;91.9573;153.2621;171.9941;17.0291;828.4667;20.8607;57.0476;34.484;46.8301;75.7796;0;65.1364;216.6658;0.8515;0.8515;240.5363;811.0119;1163.089;5261.1469;67.6908;7.2374;94.286;94.0859;0.8515;27.6723;0;950.1653;36.5189;396.5061;9.366;0;1.2772;2.9801;32.7811;58.3247;6.3859;13.6233;4.2573;246.4965;527.0513;152.4106;12.3461;602.8309;590.9105;0;521.0911;66.7244;1191.187;0.8515;8.0888;4084.0089;1003.7092;69.3937;365.7004;1463.6529;322.2761;0;1033.2419;104.5716;62.1563;123.8869;0;1.2772;0;48.9587;507.0421;645.4037;34.9438;0;0;249.0509;58.3247;2.1286;707.9857;227.7645;357.1858;0.4257;298.4353;147.3019;5.5345;67.0138;184.766;1744.1311;1.7029;4.683;529.1799;23.8408;0;8.5146;2702.5215;0;600.2765;2024.7625;16.1777;5460.8133;1086.8836
Oligodendroglioma;280.2632;139.0351;672.807;273.2456;9.6491;388.5965;1194.2982;48.2895;6201.6184;30.7018;200.4386;118.8596;8438.5965;1222.807;1473.6842;1973.2456;115.0175;13.5965;330.7018;1135.5263;32.4561;118.8596;453.0702;19.7368;365.3509;53.5088;120.1754;13.1579;7.0175;5.0088;0;7.0175;23.2456;1528.1535;304.386;109.2105;14.4737;15.7895;50.8772;59.6491;42.5439;0.8772;654.8246;19.7368;29.8246;3.0702;4.8246;51.7544;0.4386;7.0175;159.4868;0;3.9474;53.9474;303.5088;260.0877;5846.9298;25;19.7368;85.3904;2.193;0.4386;176.7544;0;777.0395;13.1447;326.0482;235.9649;0.4386;0.4386;0.8772;69.2982;3.0702;21.0526;26.3158;4.386;52.6316;484.6491;51.3158;6.5789;183.3333;432.8947;1.3158;284.6491;9.7018;1122.3684;0.4386;8.7719;1300.4386;1168.2281;93.8596;195.614;1454.386;264.4737;15.7895;1762.7193;39.4737;48.6842;135.5263;0;1.3158;0;35.9649;1750.8772;378.5088;96.75;0;0;109.6491;16.2281;19.7368;91.2281;97.807;505.2632;0;169.7368;232.4561;1.3158;22.8816;40.7895;2316.3246;3.5088;4.8246;332.4561;1.7544;0.8772;94.7368;632.4561;0;641.2281;1422.807;14.9123;1611.8421;1033.7719
Oligodendroglioma;356.6405;163.9318;2149.5433;1181.7961;45.2672;303.9366;679.3307;80.1681;349.7276;89.5643;475.6285;218.2524;10166.0335;706.8143;209.8456;1610.2174;323.6602;24.2503;133.8615;194.9721;7.4367;79.2175;557.1094;60.1407;339.5037;333.6836;155.525;14.2268;2.2634;9.4414;8.5329;25.4175;14.8735;1765.1475;156.495;133.5381;118.0179;25.5436;97.9711;23.9269;183.9787;2.2634;163.2851;6.7901;45.5905;8.4068;65.9607;126.4247;0;4.5267;381.3144;0.97;16.8135;941.2335;1558.1602;230.5392;1057.3115;139.0348;6.1434;90.2401;0.6467;0.6467;88.5943;0;787.3381;35.2502;407.385;69.8408;0;0;2.5867;49.1472;0.6467;48.8239;94.7377;39.7704;32.9804;711.341;397.381;11.3168;2682.0791;622.4234;1.94;430.6847;133.1048;1053.4314;6.7901;17.1369;3524.0482;2046.8644;232.8025;329.1569;1068.9516;213.7256;12.6101;3871.3119;120.2554;81.4809;127.3947;0;0.3233;6.1434;34.2737;1142.349;713.2811;36.4756;0;0;721.6878;68.8707;4.5267;2640.0453;112.1979;449.1149;14.2268;1146.5524;303.29;3.2334;96.5548;275.483;1615.3165;12.9335;5.4967;156.8184;28.1303;1.6167;1349.608;940.5869;0.3233;999.1108;1487.3494;51.0872;2940.7485;549.3493
Oligodendroglioma;800.6808;375.9455;1076.0212;554.8411;17.0197;281.77;470.8775;400.8207;3770.2345;142.9652;447.0499;573.7519;4276.8533;931.5431;592.2844;1739.0318;262.8593;5.6732;54.0847;233.3585;4.1604;284.4175;2659.2284;39.3343;187.5946;17.7761;537.4433;34.0393;0;10.556;1.3351;15.6846;86.233;1897.6362;1070.7262;326.3994;207.2617;104.7655;189.1074;143.3434;580.1815;20.0454;1750.7564;62.0272;310.1362;54.8411;84.3419;1798.7897;0;3.0257;645.1702;0;6.8079;1148.6384;2386.1573;932.2995;3069.9697;94.1755;23.8275;80.4198;7.1861;1.5129;231.8457;3.4039;655.9531;68.593;373.4153;330.5598;4.9168;3.4039;6.0514;58.2451;35.9304;51.4372;175.1135;42.7383;203.1014;1281.77;89.2587;178.8956;953.4796;458.3964;0.7564;585.0983;68.1921;970.121;1.1346;12.8593;3635.0227;1087.4054;169.062;360.4387;1594.9319;672.8442;7.1861;9252.6475;734.9887;760.2118;93.7973;0;1.1346;0;40.8472;765.5068;4129.3495;85.0378;0;0;234.115;62.7837;5210.2874;611.9516;3040.8472;343.4191;13.2375;246.2179;173.2224;0;154.3116;69.9697;1524.7201;313.9183;63.9183;791.9818;76.0212;0;515.885;2120.2723;0;21116.8684;1527.9879;82.4508;3892.587;929.2738
Astrocytoma;512.7143;274.767;2598.5502;811.8744;24.8533;393.5105;984.9269;50.1668;2241.1966;120.1243;465.3089;225.0604;9247.7275;851.9158;1694.6266;1774.7095;156.4837;5.523;510.4131;492.4635;21.1713;74.0996;303.7625;23.4726;236.1063;102.1747;174.4333;7.3639;12.8869;4.1146;1.3163;8.3489;28.075;1693.7568;328.6158;233.3448;3.682;21.6316;117.823;236.1063;146.3583;13.3471;280.29;12.4266;34.5185;56.15;4.6025;67.6562;0.4602;50.1668;415.768;1.3807;1.3807;231.5039;1128.984;1215.9705;4957.7724;112.7603;5.523;131.8145;228.7424;0.4602;126.5677;0;1035.9821;120.9021;441.551;93.43;0.9205;1.3807;0.4602;20.7111;46.0246;6.4434;12.8869;0.9205;190.0817;353.4691;81.4636;22.0918;325.3941;450.1208;0.9205;516.3963;66.3583;1311.2415;2.3012;12.4266;2248.3028;1452.04;248.9932;460.7065;1591.9917;376.9094;0;1099.9885;137.2224;59.3718;129.3292;0;2.7615;3.682;42.3427;1325.9694;1662.4094;16.6977;0;0;467.6102;21.1713;1.841;514.095;178.5755;205.7301;1.841;213.5543;195.6046;1.841;34.1181;133.9317;2716.6908;1.841;1.3807;840.8699;5.523;6.4434;83.7648;1832.2402;0;521.9192;2395.1214;62.5935;3377.7471;834.8867
Oligodendroglioma;613.7728;236.1672;2572.9565;396.3767;14.8423;405.1075;770.49;132.2711;1596.499;13.9692;431.7363;202.1172;6236.822;736.0035;1003.6014;2445.0507;91.2365;2.6192;139.2557;426.0613;8.7308;91.2365;782.2765;13.5327;1009.713;84.2519;122.2307;29.6846;4.8019;3.4923;0.8774;13.0918;11.35;1507.4408;190.3307;169.3768;7.4212;29.2481;53.6942;50.2019;153.6615;10.4769;667.9035;11.7865;44.0904;9.1673;85.998;74.648;0;9.1673;129.8832;0;1.3096;512.0594;873.9496;478.8825;1862.2722;34.05;2.6192;51.1885;4.3654;0.4365;99.0942;0.8731;672.2689;0;539.1247;2.1827;0.4365;0.4365;3.0558;115.2461;16.5885;18.3346;14.8423;2.1827;285.9326;1831.278;154.5345;3.9288;748.2266;690.6035;0;635.1632;37.8741;1979.2644;2.1827;12.6596;2198.4066;1503.8568;65.0442;202.5537;1441.0128;316.0537;3.9288;3309.3965;46.7096;66.3538;133.1442;0;2.1827;0;6.1115;1193.4956;990.5053;21.6829;0;0;858.2342;50.2019;5.2385;610.717;199.498;269.7806;0;406.8537;258.4306;1.7462;70.3481;72.9019;3553.513;6.9846;0;538.6882;31.4308;6.5481;927.2072;921.5322;0;660.4824;1695.078;9.1673;4139.6922;959.9476
Oligodendroglioma;522.9162;152.4314;1941.5876;279.8499;13.2421;213.0508;749.5034;74.8768;19527.6333;80.0412;214.8164;444.3464;7442.6543;888.6927;6541.6023;1945.7073;108.8796;2.3542;61.7965;283.6754;11.7708;163.3194;857.2059;46.2003;208.6368;121.5331;256.0141;19.4218;2.6484;1.7656;0.2943;5.5911;4.1198;1817.4472;291.3264;176.5615;28.5441;24.1301;151.8429;44.1404;63.8564;7.3567;2832.0459;23.2473;71.2131;7.0625;21.1874;110.6452;0;4.1198;224.6539;0.2943;2.9427;151.2543;1040.5356;322.5189;5386.596;27.9556;17.3619;58.5684;2.6484;0.8828;102.4056;0.2943;603.028;51.8944;225.8221;30.604;0;1.1771;6.1797;36.7836;8.2395;77.0985;18.539;3.0663;34.1352;540.5724;47.9659;16.7733;859.2658;308.6883;0.2943;166.5563;31.1042;1308.6147;1.7656;7.0625;2133.7453;1771.4;125.9472;250.7173;1447.804;177.4443;8.5338;1860.075;103.6945;97.6973;236.2981;0;0;0;5.0026;2691.091;967.2626;141.9201;0;0;416.6851;7.651;1545.7956;91.5177;137.7179;454.0572;2.0599;203.6342;197.1603;0.5885;44.2463;48.2601;1323.7931;28.8384;13.5364;393.4378;17.6561;0;289.5608;1181.4905;2.3542;978.1505;1993.0847;16.4791;2698.4477;875.4506
Oligoastrocytoma;534.5895;455.031;2499.4308;569.5088;47.1591;239.3953;1099.4183;368.6327;4476.8934;103.678;362.8729;231.1154;6923.7436;803.8642;2139.7978;1504.0504;182.1564;4.6799;187.5563;1022.3799;34.9193;39.9592;503.9901;27.3595;210.9558;116.6377;161.6368;17.2797;10.4398;4.9247;3.3659;7.4339;250.5551;1499.1293;881.9826;256.315;10.4398;54.7189;61.1988;162.7168;135.7173;8.9998;224.9956;24.8395;104.7579;54.3589;103.318;137.8773;0.36;21.5996;266.2076;1.8;8.2798;147.2371;1162.4171;1000.4203;5739.0069;145.0771;9.3598;250.5515;17.2797;0.36;155.1569;2.16;607.2468;65.2055;386.6504;49.319;3.2399;0.36;15.4797;28.4394;24.4795;6.8399;559.789;240.8533;128.5175;727.1857;114.4777;168.8367;1425.9319;509.03;1.44;624.5877;66.3143;1081.4187;1.08;16.5597;2062.3994;1442.5528;153.357;389.1523;1529.2499;246.2351;0;5338.6948;115.0537;132.8374;207.7159;0;1.08;0;54.3589;1546.5295;857.5031;90.549;0;0;372.5927;46.7991;82.0784;841.6634;586.0685;491.7503;13.3197;243.7152;215.9957;12.9597;40.0456;159.4769;2047.6217;133.5574;28.0794;314.9938;183.9564;9.3598;76.3185;905.3822;0;332.6334;1511.2502;12.9597;3042.6601;993.9404
Oligodendroglioma;523.7681;418.2981;3993.1345;1005.7461;113.032;240.79;926.9421;56.325;2780.3129;72.834;323.574;273.028;7429.8649;709.2361;1299.8682;652.7201;156.1195;7.164;1398.5722;869.2321;15.92;124.574;373.324;26.666;655.9041;28.656;318.4;9.552;4.776;4.6884;1.8626;8.4854;84.376;1162.5422;372.926;354.618;6.368;44.178;48.954;134.126;50.944;5.97;386.856;15.124;55.72;20.696;24.676;327.156;0;12.338;271.5833;0.796;5.97;208.95;474.8141;1251.7102;5049.4266;105.072;24.278;73.1803;5.97;1.99;182.284;0.796;235.4489;54.518;398.5732;68.058;0.398;0;25.472;59.7;40.994;17.91;1024.4521;7.3431;144.474;501.4801;196.612;51.74;2113.7783;706.0521;2.786;501.4801;79.405;1120.3701;1.592;24.278;1875.7742;932.4504;67.262;278.6;1226.2382;323.972;0;5377.7767;171.5261;69.65;220.89;0;3.184;0;80.794;742.6681;1171.3141;112.0569;0;0;133.728;78.008;37.81;1433.1982;161.588;342.678;0.796;41.392;480.3861;40.994;29.5037;34.228;1398.9503;55.72;9.552;591.8261;13.134;2.786;66.068;753.8121;52.934;1179.6721;1802.9402;25.074;3796.9205;800.3781
Oligodendroglioma;457.1738;221.5396;1046.9823;635.3451;19.5157;312.2515;687.0257;57.1991;1845.8511;101.1926;220.094;109.1435;2322.3708;918.3231;156.8486;1301.4095;94.326;39.3928;680.8818;323.8164;14.8175;81.6769;273.5815;30.3578;262.7394;72.2804;146.7293;4.3368;11.9263;12.313;3.296;12.6057;14.0947;1477.0112;173.8345;134.803;65.7752;24.9368;60.3542;75.8945;112.0347;2.8912;955.5475;15.1789;49.8735;41.9227;17.7087;88.5435;0;6.5052;831.9588;0.7228;0.7228;58.9086;351.6444;223.3466;2325.6234;88.905;3.614;69.223;1.4456;0.3614;67.2208;0;546.5811;12.1106;250.8493;5.7824;1.0842;0;2.1684;33.6104;7.228;156.8486;20.5999;0.7228;57.463;1051.3191;77.3401;7.9508;131.5504;218.6484;2.1684;255.5114;39.3206;997.4702;1.0842;13.0105;1962.4142;2681.8251;551.1384;234.1887;1034.6946;374.4127;3.2526;1519.335;18.4315;23.1297;83.1225;0;1.0842;0;12.6491;658.8363;1599.5663;110.8095;0;0.3614;241.0553;38.67;1.0842;39.3928;55.2945;216.8413;0;383.0864;879.6531;0;6.1438;26.3824;2061.6082;1.0842;0.7228;118.5399;5.421;0.3614;177.8099;3954.8247;0;368.9917;2271.7745;5.0596;1647.2714;934.5862
Astrocytoma;377.7344;188.2812;2948.4375;501.9531;27.7344;613.2812;1132.8125;30.9766;2435.8359;85.1562;603.125;302.7344;6406.25;851.1719;1296.4844;2080.8594;100.6172;5.4688;193.75;482.0312;15.2344;73.4375;374.2188;30.0781;330.8594;1168.75;108.2031;2.7344;3.9062;0.7812;3.5156;7.8125;10.9375;1540.2383;278.9062;37.8906;3.9062;15.625;175;75;315.625;5.0781;285.5469;8.2031;20.3125;32.0312;3.5156;77.7344;0;11.3281;222.1211;0.3906;7.8125;243.3594;396.4844;341.7969;1586.3281;108.5938;9.7656;68.5547;6.6406;0;45.7031;0;1010.918;39.7695;449.3164;12.5;0;1.1719;1.9531;23.8281;7.4219;37.8906;92.1875;1.5859;73.4375;350.7812;85.9375;11.7188;836.3281;464.4531;3.5156;161.7188;62.418;1042.5781;1.1719;5.4688;2387.5;2322.9375;70.7031;303.125;999.2188;224.6094;1.5625;1890.625;20.3125;48.8281;92.5781;0;0.3906;0;14.0625;1605.0781;737.1094;25.7656;0;0;660.5469;19.1406;1.5625;92.9688;57.0312;377.7344;0;417.5781;265.625;3.125;91.1133;183.5938;1787.0195;2.7344;0;250;3.125;0.7812;1150.7812;823.8281;0;368.75;2619.1406;8.5938;4002.3438;907.8125
Oligoastrocytoma;792.4773;338.9537;920.0173;579.7665;67.8772;460.0086;411.5867;564.5612;2664.8811;91.2235;156.939;779.9395;6356.2473;802.4211;380.8906;1822.3087;277.0471;19.0229;263.2944;305.6636;3.8911;259.8357;616.083;101.1673;174.2326;17.7259;482.4903;9.0791;0.4323;3.4587;1.8374;12.8621;59.6628;1698.7116;774.7514;297.8815;351.9239;62.6891;263.2944;182.447;186.7704;17.2936;971.898;52.313;118.8932;26.805;105.0584;583.2252;0;22.914;971.0549;0;5.6204;1675.3134;2418.9364;1059.2304;2677.0428;94.2499;38.4782;73.3333;3.0264;3.0264;308.69;0.4323;666.39;49.0964;391.7337;265.4561;6.4851;1.297;13.4025;35.0195;73.4976;18.1582;696.0657;32.8578;249.8919;1913.0999;121.4872;105.923;492.8664;828.3614;0;465.6291;128.3831;1211.8461;2.1617;20.3199;1798.53;965.1275;234.7601;190.6615;1834.8465;646.3467;20.7523;27137.4838;1232.6157;561.6083;155.2097;0;0;0;35.8841;393.8608;3066.5802;286.2473;0;0;296.1522;76.9563;232.166;2058.7981;681.3662;398.1842;1.7294;664.9373;103.329;1.7294;67.9594;92.9529;1491.3835;1333.7657;413.316;101.5997;12.1055;1.7294;82.1444;2543.0177;0;2361.8677;1888.8889;23.3463;5217.8988;590.575
Oligodendroglioma;363.0353;264.3725;1378.0077;497.1294;46.8784;238.2078;476.9608;117.4795;796.181;81.2196;764.2274;120.4667;3815.1409;657.9333;377.2078;4921.6899;88.3059;18.5333;117.7412;124.8274;5.9961;170.6157;430.6274;46.8784;207.6823;597.9725;59.9608;15.2627;8.1765;1.1502;1.0902;3.2706;33.251;1401.2071;293.8078;194.0549;23.9843;23.4392;328.6941;65.4118;391.9255;10.3569;508.0313;48.5137;97.0274;57.7804;53.4196;75.7686;0;7.6314;301.4555;0;7.0863;87.2157;994.2588;482.4117;1512.647;116.651;4.3608;97.6979;3.8157;0.5451;128.6431;0.5451;888.5043;0.0273;625.2002;22.8941;2.1804;3.8157;27.2549;43.0627;6.5412;55.6;1263.5372;220.7647;88.3059;1266.2627;179.8823;95.3922;1263.5372;623.047;6.5412;158.6235;21.237;1082.0195;0.5451;11.4471;2146.5959;4708.2567;132.4588;225.1255;1532.2705;227.851;1.6353;4668.7644;39.2471;76.3137;55.6;0;1.0902;0;13.0824;1200.8509;327.0588;102.642;0;0;481.3215;64.8667;28.8902;93.7569;275.8196;456.247;14.1725;918.4901;196.2353;0.5451;228.625;73.0431;1364.0314;15.2627;19.6235;366.851;71.9529;1.0902;4280.6546;468.7843;0;411.549;1394.9058;33.251;1801.5489;1139.2548
Astrocytoma;746.037;420.2471;5254.1817;562.8075;340.6581;380.0153;582.4861;188.3547;3119.3572;57.7238;445.6106;238.7668;6476.8777;543.5662;5619.766;3360.6647;133.8144;7.4341;566.7432;349.4042;14.8683;58.5984;258.4454;10.4952;1234.0658;133.3771;110.6374;6.1222;3.9357;1.3119;0;10.4952;45.0421;1480.3892;547.0646;860.1727;38.9199;14.431;80.4635;86.5858;808.1338;21.8651;562.8075;8.3087;260.6319;25.8008;42.4183;198.9723;0;48.1032;138.0431;1.7492;6.1222;186.7279;1127.3642;1973.5432;5355.1984;72.1548;4.8103;77.14;123.7564;0.8746;194.162;0.8746;530.2504;64.3446;384.0866;243.5771;0.8746;0.8746;15.3056;41.5437;47.2286;97.081;1706.7891;84.5173;271.1271;1368.7548;101.8913;297.3653;21404.1762;676.0687;0.8746;643.7083;49.6687;1611.8946;6.9968;13.9937;1841.4781;1985.2935;88.335;177.1072;1405.0508;409.3145;0;7469.1156;87.749;689.625;109.7628;0;0.8746;0;17.9294;688.7504;662.075;30.6286;0;0;569.8043;61.6596;3.9357;2561.7142;976.495;407.5653;15.3056;298.2399;254.0724;1.7492;30.3225;146.9334;2047.1105;275.5002;13.9937;415.8741;33.6722;1.3119;387.4494;1923.2535;2.6238;1151.8531;1164.5348;20.1159;6941.7295;863.2338
Astrocytoma;661.5784;232.2183;1256.252;923.6765;14.9399;298.1487;419.6168;78.2007;2047.5706;101.0068;402.0786;786.619;6514.128;725.2355;733.6798;1607.0153;283.6083;9.0939;393.9591;240.6626;2.2735;148.7496;1270.8672;75.9987;202.3384;8.1195;588.178;8.4443;0;13.1504;5.8136;16.2715;1.9487;1920.9549;277.038;424.8133;410.1981;58.7853;149.7239;92.2377;50.0162;8.7691;323.1569;23.0594;54.5632;17.8629;99.7077;1357.2589;0;7.7947;391.6726;1.2991;2.923;2670.6723;3000.9743;804.1572;3975.9662;14.6151;12.9912;53.1211;12.3417;1.9487;197.7915;0;467.3043;9.331;363.8974;177.9799;11.3673;0.3248;1.2991;30.5294;20.786;1.6239;47.7428;16.8886;172.4586;1568.3664;134.4592;21.7603;698.2787;1030.2046;0.6496;371.5492;153.3128;1409.5486;0.6496;8.7691;2097.4342;946.1026;474.5047;294.2514;1812.6015;358.2332;30.5294;27007.1452;604.1475;156.8691;110.1007;0;2.2735;0;7.7947;408.899;3248.7821;217.8987;0;0;154.9204;66.9048;24.0338;2671.3219;720.039;316.0117;2.923;187.7233;84.443;0.6496;87.366;94.1864;1389.3602;46.7684;12.9912;309.5161;1.2991;0.3248;1250.7308;1747.6453;0;1411.822;1506.658;20.4612;8007.1452;613.1861
Astrocytoma;614.5426;156.7631;2042.2205;485.1446;3.9093;232.6036;638.3894;19.1556;2768.7529;66.0672;280.2971;288.5066;7287.7248;938.6239;1171.2275;1520.7193;133.3503;4.6912;213.8389;348.7099;4.3002;71.1493;994.136;26.1923;663.018;76.6224;112.588;14.8554;0.3909;2.5254;1.5324;25.8327;25.0195;2064.9883;162.6271;181.3917;10.5551;53.9484;50.0391;134.871;345.9734;6.2549;152.8538;18.3737;27.7561;30.8835;33.2291;394.0579;0;5.473;105.1134;1.5637;6.2549;1040.6568;1770.1329;1071.9312;2292.025;3.9093;1.1728;20.6255;49.2572;1.5637;81.3135;0.3909;872.2009;116.0711;694.6833;36.3565;0.7819;0;0.3909;47.3026;80.1407;13.6826;36.7475;1.5637;176.7005;1444.097;108.2877;38.3112;788.1157;1553.5575;0;454.6521;35.3675;1902.2674;5.864;3.1274;2557.8577;1331.6458;187.6466;262.7052;1072.3221;275.9969;0;4655.1994;143.8624;111.0242;119.6247;0;0.3909;0;8.6005;1082.8772;1551.9937;6.9429;0;0;608.2877;13.2916;0.3909;2126.2705;297.498;292.8069;0.3909;424.1595;311.5715;0.3909;63.7998;189.9922;1342.803;3.5184;3.9093;609.4605;1.5637;1.1728;83.2682;1657.9359;0.3909;205.6294;1836.982;31.2744;6074.2768;1027.7561
Astrocytoma;571.3982;236.1908;2401.9977;774.2615;21.7354;369.501;618.25;47.0353;1154.3017;53.6139;264.2053;315.8871;9544.2339;1306.5361;986.3019;1471.2417;219.7685;0.483;399.4474;326.0303;11.5922;84.0434;617.767;11.5922;769.9144;54.0969;50.2328;6.2791;5.3131;0.483;0;0.966;37.1916;1491.359;146.8344;169.5357;4.8301;31.8785;113.9898;304.2949;683.939;13.0412;369.501;29.9465;55.5459;59.893;18.3543;248.749;0;16.4223;168.2799;0;0;323.6152;2135.3774;1459.1665;3866.4773;7.7281;3.3811;24.3098;45.4027;0;118.8199;0.483;728.6945;78.1313;508.4043;56.9949;0.483;0.966;17.8713;28.9805;126.065;23.1844;334.2414;2.415;414.4207;1770.7065;123.65;44.9197;1575.5714;866.999;0.966;483.9738;70.0458;1699.2214;5.3131;1.932;3303.2902;1874.3745;199.9652;269.5183;996.9281;332.7924;0;4372.6695;117.8539;199.9652;68.1041;0;0.966;0;6.7621;444.8502;978.5738;13.8623;0;0;518.7504;14.9732;2.415;1404.1036;296.0838;349.2146;1.449;302.8459;224.5986;1.932;27.1402;102.3977;2000.5216;2.898;2.898;636.6043;6.2791;2.898;67.6211;3092.6989;0;342.4525;1671.6899;9.1771;6251.0868;928.341
